drugcategory;category_detail
2883;"['Acids', 'Acids, Noncarboxylic', 'Amines', 'Gaba Agents', 'Gaba Agonists', 'Gaba-A Receptor Agonists', 'Gastrointestinal Agents', 'Neurotransmitter Agents', 'Organophosphorus Compounds', 'Phosphorus Acids', 'Phosphorus Compounds']"
2884;"['Amides', 'Angiogenesis Inhibitors', 'Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Bcrp/Abcg2 Substrates', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp1A2 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Weak)', 'Cytochrome P-450 Cyp2C8 Substrates', 'Cytochrome P-450 Cyp2C8 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Weak)', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Hepatotoxic Agents', 'Immunosuppressive Agents', 'Kinase Inhibitor', 'Moderate Risk Qtc-Prolonging Agents', 'Narrow Therapeutic Index Drugs', 'Oatp1B1/Slco1B1 Inhibitors', 'P-Glycoprotein Substrates', 'P-Glycoprotein Substrates With A Narrow Therapeutic Index', 'Protein Kinase Inhibitors', 'Qtc Prolonging Agents', 'Receptors, Vascular Endothelial Growth Factor, Antagonists & Inhibitors', 'Sulfones', 'Sulfur Compounds', 'Tyrosine Kinase Inhibitors', 'Ugt1A1 Inhibitors']"
2918;"['Bcrp/Abcg2 Inhibitors', 'Bcrp/Abcg2 Substrates', 'Cytochrome P-450 Cyp2C19 Inhibitors', 'Cytochrome P-450 Cyp2C19 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Nicotinic Acids', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B3 Inhibitors', 'Oct1 Inhibitors', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'Pyridines', 'Ugt1A1 Inhibitors', 'Ugt2B17 Substrates', 'Ugt2B7 Substrates']"
2919;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Antineoplastic And Immunomodulating Agents', 'Biologics For Psoriasis Treatment', 'Blood Proteins', 'Dermatologicals', 'Globulins', 'Immunoglobulins', 'Immunomodulatory Agents', 'Immunoproteins', 'Immunosuppressive Agents', 'Interleukin Inhibitors', 'Interleukin-12 Antagonist', 'Interleukin-23 Antagonist', 'Misc. Skin And Mucous Membrane Agents', 'Proteins', 'Serum Globulins']"
2920;"['Dopamine Antagonists', 'Dopamine D2 Receptor Antagonists']"
2921;"['Amino Acids, Peptides, And Proteins', 'Anticoagulants', 'Biological Factors', 'Blood Proteins', 'Cardiovascular Agents', 'Endopeptidases', 'Enzymes', 'Enzymes And Coenzymes', 'Fibrin Modulating Agents', 'Fibrinolytic Agents', 'Hematologic Agents', 'Hydrolases', 'Peptide Hydrolases', 'Proteins', 'Recombinant Proteins', 'Serine Endopeptidases', 'Serine Proteases']"
2922;"['Acids, Acyclic', 'Sunscreen Agents']"
3002;"['Amino Acids, Peptides, And Proteins', 'Anti-Gonadotropin-Releasing Hormones', 'Decreased Gnrh Secretion', 'Fertility Agents', 'Fertility Agents, Female', 'Gonadotropin Releasing Hormone Receptor Antagonists', 'Gonadotropin-Releasing Hormone Antagonists', 'Hormone Antagonists', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Hypothalamic Hormones', 'Nerve Tissue Proteins', 'Neuropeptides', 'Oligopeptides', 'Peptide Hormones', 'Peptides', 'Pituitary And Hypothalamic Hormones And Analogues', 'Pituitary Hormone-Releasing Hormones', 'Proteins', 'Reproductive Control Agents', 'Systemic Hormonal Preparations, Excl. Sex Hormones And Insulins']"
2885;"['Anticoagulants', 'Antiplatelet Agents', 'Blood And Blood Forming Organs', 'Carbohydrates', 'Cytochrome P-450 Cyp2B6 Inducers', 'Cytochrome P-450 Cyp2B6 Inducers (Weak)', 'Cytochrome P-450 Cyp2C9 Inducers', 'Cytochrome P-450 Cyp2C9 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inducers (Weak)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Inhibitors', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Decreased Platelet Aggregation', 'Glycosides', 'Hematologic Agents', 'Heterocyclic Compounds, Fused-Ring', 'Nucleic Acids, Nucleotides, And Nucleosides', 'Nucleosides', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'P2Y12 Platelet Inhibitor', 'Phenylalanine Hydroxylase Activators', 'Platelet Aggregation Inhibitors Excl. Heparin', 'Purine Nucleosides', 'Purinergic Agents', 'Purinergic Antagonists', 'Purinergic P2 Receptor Antagonists', 'Purinergic P2Y Receptor Antagonists', 'Purines', 'Ribonucleosides']"
2886;"['Agents That Produce Hypertension', 'Amines', 'Analgesics', 'Antidepressive Agents', 'Antimigraine Preparations', 'Biogenic Amines', 'Biogenic Monoamines', 'Cardiovascular Agents', 'Central Nervous System Depressants', 'Heterocyclic Compounds, Fused-Ring', 'Indoles', 'Monoamine Oxidase A Substrates', 'Nervous System', 'Neurotransmitter Agents', 'Selective Serotonin 5-Ht1 Receptor Agonists', 'Selective Serotonin Agonists', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome', 'Serotonin 1B Receptor Agonists', 'Serotonin 1D Receptor Agonists', 'Serotonin 5-Ht1 Receptor Agonists', 'Serotonin Agents', 'Serotonin Modulators', 'Serotonin Receptor Agonists', 'Serotonin-1B And Serotonin-1D Receptor Agonist', 'Triptans', 'Vasoconstrictor Agents']"
2887;"['Acids, Acyclic', 'Fatty Acids', 'Fatty Acids, Volatile', 'Lipids', 'Sulfur Compounds']"
2888;"['Amino Acids', 'Amino Acids, Peptides, And Proteins', 'Caspase Inhibitors', 'Central Nervous System Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Cysteine Proteinase Inhibitors', 'Enzyme Inhibitors', 'Neuroprotective Agents', 'Protease Inhibitors', 'Protective Agents']"
2889;"['Anti-Infective Agents', 'Antiinfectives For Systemic Use', 'Antiviral Agents', 'Antivirals For Systemic Use', 'Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor', 'Cytosine', 'Direct Acting Antivirals', 'Drugs That Are Mainly Renally Excreted', 'Enzyme Inhibitors', 'Nephrotoxic Agents', 'Nucleic Acid Synthesis Inhibitors', 'Nucleosides And Nucleotides', 'Nucleosides And Nucleotides Excl. Reverse Transcriptase Inhibitors', 'Oat1/Slc22A6 Inhibitors', 'Oat1/Slc22A6 Substrates', 'Organophosphonates', 'Organophosphorus Compounds', 'Pyrimidines', 'Pyrimidinones']"
2890;"['Antisense Elements (Genetics)', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Diagnostic Uses Of Chemicals', 'Laboratory Chemicals', 'Molecular Probes', 'Nucleic Acid Probes', 'Nucleic Acids', 'Nucleic Acids, Nucleotides, And Nucleosides', 'Rna, Antisense', 'Rna, Small Untranslated', 'Rna, Untranslated']"
2891;"['Acids, Acyclic', 'Carbohydrates', 'Hydroxy Acids', 'Sugar Acids']"
2892;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Blood Proteins', 'Cancer Immunotherapy', 'Cd38-Directed Antibody Interactions', 'Cd38-Directed Cytolytic Antibody', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunotherapy', 'Narrow Therapeutic Index Drugs', 'Proteins', 'Serum Globulins']"
2893;"['Agrochemicals', 'Anthelmintics', 'Anti-Infective Agents', 'Antiparasitic Agents', 'Cholinergic Agents', 'Cholinesterase Inhibitors', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Enzyme Inhibitors', 'Insecticides', 'Neurotransmitter Agents', 'Organophosphates', 'Organophosphorus Compounds', 'Pesticides', 'Potential Qtc-Prolonging Agents', 'Qtc Prolonging Agents', 'Toxic Actions']"
2894;"['Anthracenes', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Weak)', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Weak)', 'Cytochrome P-450 Enzyme Inhibitors', 'Enzyme Inhibitors', 'Mixed Function Oxygenases', 'Nadh, Nadph Oxidoreductases, Antagonists & Inhibitors', 'Quinones']"
2895;"['Amides', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Beta-Lactams', 'Cephalosporins', 'Drugs That Are Mainly Renally Excreted', 'First-Generation Cephalosporins', 'Heterocyclic Compounds, Fused-Ring', 'Lactams', 'Nephrotoxic Agents', 'Oat1/Slc22A6 Inhibitors', 'Oat3/Slc22A8 Inhibitors', 'Sulfur Compounds', 'Thiazines']"
2896;"['Agents That Produce Hypertension', 'Antidepressive Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Central Nervous System Stimulants', 'Central Nervous System Stimulation', 'Centrally Acting Sympathomimetics', 'Combined Inhibitors Of Serotonin/Norepinephrine Reuptake', 'Dopamine Agents', 'Dopamine Uptake Inhibitors', 'Membrane Transport Modulators', 'Methylphenidate And Isomer', 'Nervous System', 'Neurotransmitter Agents', 'Neurotransmitter Uptake Inhibitors', 'Phenylacetates', 'Piperidines', 'Psychoanaleptics', 'Psychostimulants, Agents Used For Adhd And Nootropics', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome', 'Serotonin Agents', 'Serotonin Modulators']"
2897;"['Antiplatelet Agents', 'Cardiac Therapy', 'Cardiovascular Agents', 'Enzyme Inhibitors', 'Hematologic Agents', 'Phosphodiesterase Inhibitors', 'Pyrimidines', 'Triazoles', 'Vasodilating Agents', 'Vasodilators Used In Cardiac Diseases']"
2898;"['Antianginal Agents', 'Benzene Derivatives', 'Platelet Glycoprotein Gpiib-Iiia Complex, Antagonists & Inhibitors', 'Vasodilating Agents']"
2899;"['Diet, Food, And Nutrition', 'Dietary Supplements', 'Food', 'Growth Substances', 'Micronutrients', 'Physiological Phenomena', 'Picolines', 'Pyridines', 'Supplements', 'Vitamin B Complex', 'Vitamins']"
2947;"['Antihistamines For Systemic Use', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Substrates', 'Histamine Agents', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Ketones', 'Neurotransmitter Agents', 'Potential Qtc-Prolonging Agents', 'Qtc Prolonging Agents']"
2900;"['Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Bcrp/Abcg2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp1A2 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Strong)', 'Cytochrome P-450 Cyp2C8 Substrates', 'Cytochrome P-450 Cyp2C8 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Highest Risk Qtc-Prolonging Agents', 'Kinase Inhibitor', 'Narrow Therapeutic Index Drugs', 'Organic Anion Transporting Polypeptide 2B1 Inhibitors', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'P-Glycoprotein Substrates With A Narrow Therapeutic Index', 'Protein Kinase Inhibitors', 'Qtc Prolonging Agents', 'Quinazolines', 'Tyrosine Kinase Inhibitors', 'Ugt1A1 Inhibitors']"
2901;"['Alcohols', 'Amines', 'Ammonium Compounds', 'Carbohydrates', 'Glycoside Hydrolases, Antagonists & Inhibitors', 'Imines', 'Imino Sugars', 'Monosaccharides', 'Nitrogen Compounds', 'Onium Compounds', 'Pentoses', 'Pyrrolidines', 'Sugar Alcohols']"
2902;"['Agents Causing Muscle Toxicity', 'Anti-Hiv Agents', 'Anti-Infective Agents', 'Anti-Retroviral Agents', 'Antiinfectives For Systemic Use', 'Antiviral Agents', 'Antivirals For Systemic Use', 'Bcrp/Abcg2 Inhibitors', 'Bsep/Abcb11 Substrates', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2C8 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2D6 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Inhibitors', 'Cytochrome P-450 Cyp3A5 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A5 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Inhibitors', 'Cytochrome P-450 Cyp3A7 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A7 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A7 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Direct Acting Antivirals', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Hiv Protease Inhibitors', 'Hyperglycemia-Associated Agents', 'Isoquinolines', 'Moderate Risk Qtc-Prolonging Agents', 'Oatp1B1/Slco1B1 Inhibitors', 'Oct1 Inhibitors', 'Organic Anion Transporting Polypeptide 2B1 Inhibitors', 'P-Glycoprotein Inducers', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'Protease Inhibitors', 'Qtc Prolonging Agents', 'Quinolines']"
2903;"['Pentanoic Acids', 'Valerates']"
2904;"['Agents Causing Muscle Toxicity', 'Antidotes', 'Autonomic Agents', 'Biological Products', 'Central Nervous System Agents', 'Complex Mixtures', 'Cough And Cold Preparations', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Emetics', 'Expectorants', 'Gastrointestinal Agents', 'Peripheral Nervous System Agents', 'Pharmaceutical Preparations', 'Plant Extracts', 'Plant Preparations']"
2905;"['Central Nervous System Depressants', 'Gaba Agents', 'Heterocyclic Compounds, Fused-Ring', 'Hypnotics (Nonbenzodiazepine)', 'Hypnotics And Sedatives']"
2906;"['Carbohydrates', 'Deoxy Sugars']"
2907;"['Agents Causing Muscle Toxicity', 'Anti-Epileptic Agent', 'Anticonvulsants', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Comt Substrates', 'Cytochrome P-450 Cyp1A2 Inducers', 'Cytochrome P-450 Cyp1A2 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp2A6 Substrates', 'Cytochrome P-450 Cyp2A6 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2B6 Inducers', 'Cytochrome P-450 Cyp2B6 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp2B6 Inducers (Strong)', 'Cytochrome P-450 Cyp2B6 Substrates', 'Cytochrome P-450 Cyp2B6 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C18 Substrates', 'Cytochrome P-450 Cyp2C18 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C19 Inducers', 'Cytochrome P-450 Cyp2C19 Inducers (Moderate)', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C19 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C8 Inducers', 'Cytochrome P-450 Cyp2C8 Inducers (Strong)', 'Cytochrome P-450 Cyp2C8 Substrates', 'Cytochrome P-450 Cyp2C8 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C9 Inducers', 'Cytochrome P-450 Cyp2C9 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2E1 Substrates', 'Cytochrome P-450 Cyp2E1 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Inducers (Strong)', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A5 Inducers', 'Cytochrome P-450 Cyp3A5 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A7 Inducers', 'Cytochrome P-450 Cyp3A7 Inducers (Weak)', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Cyp3A7 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Decreased Central Nervous System Disorganized Electrical Activity', 'Enzyme Inducing Antiepileptic Drugs', 'Hydantoins', 'Imidazoles', 'Imidazolidines', 'Inducers Of Drug Clearance', 'Membrane Transport Modulators', 'Methemoglobinemia Associated Agents', 'Narrow Therapeutic Index Drugs', 'Nervous System', 'P-Glycoprotein Substrates', 'P-Glycoprotein Substrates With A Narrow Therapeutic Index', 'Phenytoin And Prodrugs', 'Sodium Channel Blockers', 'Thyroxine-Binding Globulin Substrates', 'Ugt1A1 Inducers', 'Ugt1A1 Substrates', 'Ugt1A1 Substrates With A Narrow Therapeutic Index', 'Ugt1A4 Substrates', 'Ugt1A6 Inhibitors', 'Ugt1A6 Substrate', 'Ugt1A6 Substrates With A Narrow Therapeutic Index', 'Ugt1A9 Inhibitors', 'Ugt1A9 Substrates', 'Ugt1A9 Substrates With A Narrow Therapeutic Index', 'Voltage-Gated Sodium Channel Blockers']"
2908;"['Agents Producing Tachycardia', 'Alimentary Tract And Metabolism', 'Anti-Asthmatic Agents', 'Anticholinergic Agents', 'Autonomic Agents', 'Bronchodilator Agents', 'Drugs For Functional Gastrointestinal Disorders', 'Muscarinic Antagonists', 'Parasympatholytics', 'Peripheral Nervous System Agents', 'Respiratory System Agents', 'Synthetic Anticholinergics, Quaternary Ammonium Compounds']"
2909;"['Amides', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Beta-Lactams', 'Cephacetrile', 'Cephalosporins', 'Heterocyclic Compounds, Fused-Ring', 'Lactams', 'Nephrotoxic Agents', 'Oat1/Slc22A6 Inhibitors', 'Oat1/Slc22A6 Substrates', 'Oat3/Slc22A8 Inhibitors', 'Oat3/Slc22A8 Substrates', 'Sulfur Compounds', 'Thiazines', 'Third-Generation Cephalosporins']"
2910;"['Antiemetics', 'Autonomic Agents', 'Cannabinoids And Similars', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Excitatory Amino Acid Agents', 'Excitatory Amino Acid Antagonists', 'Gastrointestinal Agents', 'Neuroprotective Agents', 'Neurotransmitter Agents', 'Peripheral Nervous System Agents', 'Protective Agents', 'Terpenes']"
2911;"['Amino Acids', 'Amino Acids, Neutral', 'Amino Acids, Peptides, And Proteins', 'Dietary Supplements', 'Proteinogenic Amino Acids', 'Supplements']"
2912;"['Acids, Acyclic', 'Amino Acids', 'Amino Acids, Peptides, And Proteins', 'Aminocaproates', 'Antifibrinolytic Agents', 'Blood And Blood Forming Organs', 'Caproates', 'Coagulants', 'Decreased Fibrinolysis', 'Fatty Acids', 'Fatty Acids, Volatile', 'Fibrin Modulating Agents', 'Hematologic Agents', 'Hemostatics', 'Lipids']"
2913;"['Cyclin-Dependent Kinases, Antagonists & Inhibitors', 'Cytokinins', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Purines']"
2948;"['Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Substrates']"
2923;"['Adrenergic Agents', 'Adrenergic Agonists', 'Adrenergic Antagonists', 'Adrenergic Beta-Antagonists', 'Agents Causing Hyperkalemia', 'Agents Producing Tachycardia', 'Agents That Produce Hypertension', 'Alkaloids', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Anti-Ulcer Agents', 'Antiarrhythmic Agents', 'Antioxidants', 'Antirheumatic Agents', 'Autonomic Agents', 'Bradycardia-Causing Agents', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Substrates', 'Drugs, Chinese Herbal', 'Free Radical Scavengers', 'Gastrointestinal Agents', 'Neurotransmitter Agents', 'Parasympatholytics', 'Peripheral Nervous System Agents', 'Plant Extracts', 'Potential Qtc-Prolonging Agents', 'Protective Agents', 'Qtc Prolonging Agents', 'Sensory System Agents', 'Vasodilating Agents']"
2924;"['Acetates', 'Acids, Acyclic', 'Amides', 'Anticonvulsants', 'Benzodiazepine Hypnotics And Sedatives', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Central Nervous System Depression', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Fatty Acids', 'Fatty Acids, Volatile', 'Gaba Agents', 'Gaba Agonists', 'Gaba Modulators', 'Gaba-A Receptor Agonists', 'Gamma-Aminobutyric Acid A Receptor Agonist', 'Hypnotics (Nonbenzodiazepine)', 'Hypnotics And Sedatives', 'Lipids', 'Miscellaneous Anxiolytics Sedatives And Hypnotics', 'Nervous System', 'Neurotransmitter Agents', 'Psycholeptics']"
2925;"['Anti-Allergic Agents', 'Anti-Inflammatory Agents', 'Antiallergic Agents, Excl. Corticosteroids', 'Antihistamine Drugs', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Decongestants And Antiallergics', 'Decreased Histamine Release', 'Dibenzoxepins', 'Heterocyclic Compounds, Fused-Ring', 'Histamine Agents', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Histamine H1 Antagonists, Non-Sedating', 'Histamine H1 Inhibitors', 'Mast Cell Stabilizers', 'Nasal Preparations', 'Neurotransmitter Agents', 'Ophthalmologicals', 'P-Glycoprotein Substrates', 'Peripheral Nervous System Agents', 'Sensory Organs', 'Sensory System Agents']"
