phenocode;pheno_sex;description;description_more
25648;both_sexes;Weighted-mean L3 in tract uncinate fasciculus (left);Weighted-mean L3 in tract left uncinate fasciculus (from dMRI data)
25649;both_sexes;Weighted-mean L3 in tract uncinate fasciculus (right);Weighted-mean L3 in tract right uncinate fasciculus (from dMRI data)
25650;both_sexes;Weighted-mean ICVF in tract acoustic radiation (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left acoustic radiation (from dMRI data)
25651;both_sexes;Weighted-mean ICVF in tract acoustic radiation (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right acoustic radiation (from dMRI data)
25652;both_sexes;Weighted-mean ICVF in tract anterior thalamic radiation (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left anterior thalamic radiation (from dMRI data)
25653;both_sexes;Weighted-mean ICVF in tract anterior thalamic radiation (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right anterior thalamic radiation (from dMRI data)
25654;both_sexes;Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left cingulate gyrus part of cingulum (from dMRI data)
25655;both_sexes;Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right cingulate gyrus part of cingulum (from dMRI data)
25804;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, posterior division (left)";"Volume of grey matter in Left Middle Temporal Gyrus, posterior division"
25656;both_sexes;Weighted-mean ICVF in tract parahippocampal part of cingulum (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left parahippocampal part of cingulum (from dMRI data)
25657;both_sexes;Weighted-mean ICVF in tract parahippocampal part of cingulum (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right parahippocampal part of cingulum (from dMRI data)
25658;both_sexes;Weighted-mean ICVF in tract corticospinal tract (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left corticospinal tract (from dMRI data)
25659;both_sexes;Weighted-mean ICVF in tract corticospinal tract (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right corticospinal tract (from dMRI data)
25660;both_sexes;Weighted-mean ICVF in tract forceps major;Weighted-mean ICVF (intra-cellular volume fraction) in tract forceps major (from dMRI data)
25661;both_sexes;Weighted-mean ICVF in tract forceps minor;Weighted-mean ICVF (intra-cellular volume fraction) in tract forceps minor (from dMRI data)
25662;both_sexes;Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left inferior fronto-occipital fasciculus (from dMRI data)
25663;both_sexes;Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right inferior fronto-occipital fasciculus (from dMRI data)
25664;both_sexes;Weighted-mean ICVF in tract inferior longitudinal fasciculus (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left inferior longitudinal fasciculus (from dMRI data)
25665;both_sexes;Weighted-mean ICVF in tract inferior longitudinal fasciculus (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right inferior longitudinal fasciculus (from dMRI data)
25666;both_sexes;Weighted-mean ICVF in tract middle cerebellar peduncle;Weighted-mean ICVF (intra-cellular volume fraction) in tract middle cerebellar peduncle (from dMRI data)
25667;both_sexes;Weighted-mean ICVF in tract medial lemniscus (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left medial lemniscus (from dMRI data)
25668;both_sexes;Weighted-mean ICVF in tract medial lemniscus (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right medial lemniscus (from dMRI data)
25669;both_sexes;Weighted-mean ICVF in tract posterior thalamic radiation (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left posterior thalamic radiation (from dMRI data)
25670;both_sexes;Weighted-mean ICVF in tract posterior thalamic radiation (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right posterior thalamic radiation (from dMRI data)
25671;both_sexes;Weighted-mean ICVF in tract superior longitudinal fasciculus (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left superior longitudinal fasciculus (from dMRI data)
25672;both_sexes;Weighted-mean ICVF in tract superior longitudinal fasciculus (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right superior longitudinal fasciculus (from dMRI data)
25673;both_sexes;Weighted-mean ICVF in tract superior thalamic radiation (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left superior thalamic radiation (from dMRI data)
25674;both_sexes;Weighted-mean ICVF in tract superior thalamic radiation (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right superior thalamic radiation (from dMRI data)
25675;both_sexes;Weighted-mean ICVF in tract uncinate fasciculus (left);Weighted-mean ICVF (intra-cellular volume fraction) in tract left uncinate fasciculus (from dMRI data)
25676;both_sexes;Weighted-mean ICVF in tract uncinate fasciculus (right);Weighted-mean ICVF (intra-cellular volume fraction) in tract right uncinate fasciculus (from dMRI data)
25677;both_sexes;Weighted-mean OD in tract acoustic radiation (left);Weighted-mean OD (orientation dispersion index) in tract left acoustic radiation (from dMRI data)
25678;both_sexes;Weighted-mean OD in tract acoustic radiation (right);Weighted-mean OD (orientation dispersion index) in tract right acoustic radiation (from dMRI data)
25679;both_sexes;Weighted-mean OD in tract anterior thalamic radiation (left);Weighted-mean OD (orientation dispersion index) in tract left anterior thalamic radiation (from dMRI data)
25680;both_sexes;Weighted-mean OD in tract anterior thalamic radiation (right);Weighted-mean OD (orientation dispersion index) in tract right anterior thalamic radiation (from dMRI data)
25681;both_sexes;Weighted-mean OD in tract cingulate gyrus part of cingulum (left);Weighted-mean OD (orientation dispersion index) in tract left cingulate gyrus part of cingulum (from dMRI data)
25682;both_sexes;Weighted-mean OD in tract cingulate gyrus part of cingulum (right);Weighted-mean OD (orientation dispersion index) in tract right cingulate gyrus part of cingulum (from dMRI data)
25683;both_sexes;Weighted-mean OD in tract parahippocampal part of cingulum (left);Weighted-mean OD (orientation dispersion index) in tract left parahippocampal part of cingulum (from dMRI data)
25684;both_sexes;Weighted-mean OD in tract parahippocampal part of cingulum (right);Weighted-mean OD (orientation dispersion index) in tract right parahippocampal part of cingulum (from dMRI data)
25685;both_sexes;Weighted-mean OD in tract corticospinal tract (left);Weighted-mean OD (orientation dispersion index) in tract left corticospinal tract (from dMRI data)
25686;both_sexes;Weighted-mean OD in tract corticospinal tract (right);Weighted-mean OD (orientation dispersion index) in tract right corticospinal tract (from dMRI data)
25687;both_sexes;Weighted-mean OD in tract forceps major;Weighted-mean OD (orientation dispersion index) in tract forceps major (from dMRI data)
25688;both_sexes;Weighted-mean OD in tract forceps minor;Weighted-mean OD (orientation dispersion index) in tract forceps minor (from dMRI data)
25689;both_sexes;Weighted-mean OD in tract inferior fronto-occipital fasciculus (left);Weighted-mean OD (orientation dispersion index) in tract left inferior fronto-occipital fasciculus (from dMRI data)
25690;both_sexes;Weighted-mean OD in tract inferior fronto-occipital fasciculus (right);Weighted-mean OD (orientation dispersion index) in tract right inferior fronto-occipital fasciculus (from dMRI data)
25899;both_sexes;Volume of grey matter in VI Cerebellum (right);Volume of grey matter in Right VI Cerebellum
C90;both_sexes;C90 Multiple myeloma and malignant plasma cell neoplasms;truncated: true
25691;both_sexes;Weighted-mean OD in tract inferior longitudinal fasciculus (left);Weighted-mean OD (orientation dispersion index) in tract left inferior longitudinal fasciculus (from dMRI data)
25692;both_sexes;Weighted-mean OD in tract inferior longitudinal fasciculus (right);Weighted-mean OD (orientation dispersion index) in tract right inferior longitudinal fasciculus (from dMRI data)
25693;both_sexes;Weighted-mean OD in tract middle cerebellar peduncle;Weighted-mean OD (orientation dispersion index) in tract middle cerebellar peduncle (from dMRI data)
25694;both_sexes;Weighted-mean OD in tract medial lemniscus (left);Weighted-mean OD (orientation dispersion index) in tract left medial lemniscus (from dMRI data)
25695;both_sexes;Weighted-mean OD in tract medial lemniscus (right);Weighted-mean OD (orientation dispersion index) in tract right medial lemniscus (from dMRI data)
25696;both_sexes;Weighted-mean OD in tract posterior thalamic radiation (left);Weighted-mean OD (orientation dispersion index) in tract left posterior thalamic radiation (from dMRI data)
25697;both_sexes;Weighted-mean OD in tract posterior thalamic radiation (right);Weighted-mean OD (orientation dispersion index) in tract right posterior thalamic radiation (from dMRI data)
25698;both_sexes;Weighted-mean OD in tract superior longitudinal fasciculus (left);Weighted-mean OD (orientation dispersion index) in tract left superior longitudinal fasciculus (from dMRI data)
25699;both_sexes;Weighted-mean OD in tract superior longitudinal fasciculus (right);Weighted-mean OD (orientation dispersion index) in tract right superior longitudinal fasciculus (from dMRI data)
25700;both_sexes;Weighted-mean OD in tract superior thalamic radiation (left);Weighted-mean OD (orientation dispersion index) in tract left superior thalamic radiation (from dMRI data)
25701;both_sexes;Weighted-mean OD in tract superior thalamic radiation (right);Weighted-mean OD (orientation dispersion index) in tract right superior thalamic radiation (from dMRI data)
25702;both_sexes;Weighted-mean OD in tract uncinate fasciculus (left);Weighted-mean OD (orientation dispersion index) in tract left uncinate fasciculus (from dMRI data)
25703;both_sexes;Weighted-mean OD in tract uncinate fasciculus (right);Weighted-mean OD (orientation dispersion index) in tract right uncinate fasciculus (from dMRI data)
25704;both_sexes;Weighted-mean ISOVF in tract acoustic radiation (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left acoustic radiation (from dMRI data)
25705;both_sexes;Weighted-mean ISOVF in tract acoustic radiation (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right acoustic radiation (from dMRI data)
25706;both_sexes;Weighted-mean ISOVF in tract anterior thalamic radiation (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left anterior thalamic radiation (from dMRI data)
25707;both_sexes;Weighted-mean ISOVF in tract anterior thalamic radiation (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right anterior thalamic radiation (from dMRI data)
25708;both_sexes;Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left cingulate gyrus part of cingulum (from dMRI data)
25709;both_sexes;Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right cingulate gyrus part of cingulum (from dMRI data)
25710;both_sexes;Weighted-mean ISOVF in tract parahippocampal part of cingulum (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left parahippocampal part of cingulum (from dMRI data)
25711;both_sexes;Weighted-mean ISOVF in tract parahippocampal part of cingulum (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right parahippocampal part of cingulum (from dMRI data)
25712;both_sexes;Weighted-mean ISOVF in tract corticospinal tract (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left corticospinal tract (from dMRI data)
25713;both_sexes;Weighted-mean ISOVF in tract corticospinal tract (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right corticospinal tract (from dMRI data)
25714;both_sexes;Weighted-mean ISOVF in tract forceps major;Weighted-mean ISOVF (isotropic or free water volume fraction) in tract forceps major (from dMRI data)
25715;both_sexes;Weighted-mean ISOVF in tract forceps minor;Weighted-mean ISOVF (isotropic or free water volume fraction) in tract forceps minor (from dMRI data)
25716;both_sexes;Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left inferior fronto-occipital fasciculus (from dMRI data)
25717;both_sexes;Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right inferior fronto-occipital fasciculus (from dMRI data)
25718;both_sexes;Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left inferior longitudinal fasciculus (from dMRI data)
25719;both_sexes;Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right inferior longitudinal fasciculus (from dMRI data)
25720;both_sexes;Weighted-mean ISOVF in tract middle cerebellar peduncle;Weighted-mean ISOVF (isotropic or free water volume fraction) in tract middle cerebellar peduncle (from dMRI data)
25721;both_sexes;Weighted-mean ISOVF in tract medial lemniscus (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left medial lemniscus (from dMRI data)
25722;both_sexes;Weighted-mean ISOVF in tract medial lemniscus (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right medial lemniscus (from dMRI data)
25723;both_sexes;Weighted-mean ISOVF in tract posterior thalamic radiation (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left posterior thalamic radiation (from dMRI data)
25724;both_sexes;Weighted-mean ISOVF in tract posterior thalamic radiation (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right posterior thalamic radiation (from dMRI data)
25900;both_sexes;Volume of grey matter in Crus I Cerebellum (left);Volume of grey matter in Left Crus I Cerebellum
C91;both_sexes;C91 Lymphoid leukaemia;truncated: true
25725;both_sexes;Weighted-mean ISOVF in tract superior longitudinal fasciculus (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left superior longitudinal fasciculus (from dMRI data)
25726;both_sexes;Weighted-mean ISOVF in tract superior longitudinal fasciculus (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right superior longitudinal fasciculus (from dMRI data)
25727;both_sexes;Weighted-mean ISOVF in tract superior thalamic radiation (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left superior thalamic radiation (from dMRI data)
25728;both_sexes;Weighted-mean ISOVF in tract superior thalamic radiation (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right superior thalamic radiation (from dMRI data)
25729;both_sexes;Weighted-mean ISOVF in tract uncinate fasciculus (left);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract left uncinate fasciculus (from dMRI data)
25730;both_sexes;Weighted-mean ISOVF in tract uncinate fasciculus (right);Weighted-mean ISOVF (isotropic or free water volume fraction) in tract right uncinate fasciculus (from dMRI data)
25741;both_sexes;"Mean rfMRI head motion, averaged across space and time points";"Mean rfMRI head motion, averaged across space and time points"
25742;both_sexes;"Mean tfMRI head motion, averaged across space and time points";"Mean tfMRI head motion, averaged across space and time points"
25761;both_sexes;90th percentile of BOLD effect (in group-defined mask) for shapes activation;90th percentile of the BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for shapes activation (in task fMRI data)
25762;both_sexes;90th percentile of z-statistic (in group-defined mask) for shapes activation;90th percentile of the z-statistic (in group-defined mask) for shapes activation (in task fMRI data)
25763;both_sexes;90th percentile of BOLD effect (in group-defined mask) for faces activation;90th percentile of the BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces activation (in task fMRI data)
25764;both_sexes;90th percentile of z-statistic (in group-defined mask) for faces activation;90th percentile of the z-statistic (in group-defined mask) for faces activation (in task fMRI data)
25765;both_sexes;90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast;90th percentile of the BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces-shapes contrast (in task fMRI data)
25766;both_sexes;90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast;90th percentile of the z-statistic (in group-defined mask) for faces-shapes contrast (in task fMRI data)
25767;both_sexes;90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast;90th percentile of the BOLD (blood-oxygen-level dependent) effect (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)
25768;both_sexes;90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast;90th percentile of the z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)
25781;both_sexes;Total volume of white matter hyperintensities (from T1 and T2_FLAIR images);Total volume of white matter hyperintensities (from T1 and T2_FLAIR images)
25782;both_sexes;Volume of grey matter in Frontal Pole (left);Volume of grey matter in Left Frontal Pole
25783;both_sexes;Volume of grey matter in Frontal Pole (right);Volume of grey matter in Right Frontal Pole
25784;both_sexes;Volume of grey matter in Insular Cortex (left);Volume of grey matter in Left Insular Cortex
25785;both_sexes;Volume of grey matter in Insular Cortex (right);Volume of grey matter in Right Insular Cortex
25786;both_sexes;Volume of grey matter in Superior Frontal Gyrus (left);Volume of grey matter in Left Superior Frontal Gyrus
25787;both_sexes;Volume of grey matter in Superior Frontal Gyrus (right);Volume of grey matter in Right Superior Frontal Gyrus
25788;both_sexes;Volume of grey matter in Middle Frontal Gyrus (left);Volume of grey matter in Left Middle Frontal Gyrus
25789;both_sexes;Volume of grey matter in Middle Frontal Gyrus (right);Volume of grey matter in Right Middle Frontal Gyrus
25790;both_sexes;"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left)";"Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis"
25791;both_sexes;"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)";"Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis"
25792;both_sexes;"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)";"Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis"
25793;both_sexes;"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right)";"Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis"
25794;both_sexes;Volume of grey matter in Precentral Gyrus (left);Volume of grey matter in Left Precentral Gyrus
25795;both_sexes;Volume of grey matter in Precentral Gyrus (right);Volume of grey matter in Right Precentral Gyrus
25796;both_sexes;Volume of grey matter in Temporal Pole (left);Volume of grey matter in Left Temporal Pole
25797;both_sexes;Volume of grey matter in Temporal Pole (right);Volume of grey matter in Right Temporal Pole
25798;both_sexes;"Volume of grey matter in Superior Temporal Gyrus, anterior division (left)";"Volume of grey matter in Left Superior Temporal Gyrus, anterior division"
25799;both_sexes;"Volume of grey matter in Superior Temporal Gyrus, anterior division (right)";"Volume of grey matter in Right Superior Temporal Gyrus, anterior division"
25800;both_sexes;"Volume of grey matter in Superior Temporal Gyrus, posterior division (left)";"Volume of grey matter in Left Superior Temporal Gyrus, posterior division"
25801;both_sexes;"Volume of grey matter in Superior Temporal Gyrus, posterior division (right)";"Volume of grey matter in Right Superior Temporal Gyrus, posterior division"
25802;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, anterior division (left)";"Volume of grey matter in Left Middle Temporal Gyrus, anterior division"
25803;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, anterior division (right)";"Volume of grey matter in Right Middle Temporal Gyrus, anterior division"
25805;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, posterior division (right)";"Volume of grey matter in Right Middle Temporal Gyrus, posterior division"
25806;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left)";"Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part"
25807;both_sexes;"Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right)";"Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part"
25808;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, anterior division (left)";"Volume of grey matter in Left Inferior Temporal Gyrus, anterior division"
25809;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, anterior division (right)";"Volume of grey matter in Right Inferior Temporal Gyrus, anterior division"
25810;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, posterior division (left)";"Volume of grey matter in Left Inferior Temporal Gyrus, posterior division"
25811;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, posterior division (right)";"Volume of grey matter in Right Inferior Temporal Gyrus, posterior division"
25812;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left)";"Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part"
25813;both_sexes;"Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right)";"Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part"
25814;both_sexes;Volume of grey matter in Postcentral Gyrus (left);Volume of grey matter in Left Postcentral Gyrus
25815;both_sexes;Volume of grey matter in Postcentral Gyrus (right);Volume of grey matter in Right Postcentral Gyrus
25816;both_sexes;Volume of grey matter in Superior Parietal Lobule (left);Volume of grey matter in Left Superior Parietal Lobule
25817;both_sexes;Volume of grey matter in Superior Parietal Lobule (right);Volume of grey matter in Right Superior Parietal Lobule
25818;both_sexes;"Volume of grey matter in Supramarginal Gyrus, anterior division (left)";"Volume of grey matter in Left Supramarginal Gyrus, anterior division"
25819;both_sexes;"Volume of grey matter in Supramarginal Gyrus, anterior division (right)";"Volume of grey matter in Right Supramarginal Gyrus, anterior division"
25820;both_sexes;"Volume of grey matter in Supramarginal Gyrus, posterior division (left)";"Volume of grey matter in Left Supramarginal Gyrus, posterior division"
25821;both_sexes;"Volume of grey matter in Supramarginal Gyrus, posterior division (right)";"Volume of grey matter in Right Supramarginal Gyrus, posterior division"
25822;both_sexes;Volume of grey matter in Angular Gyrus (left);Volume of grey matter in Left Angular Gyrus
25823;both_sexes;Volume of grey matter in Angular Gyrus (right);Volume of grey matter in Right Angular Gyrus
25824;both_sexes;"Volume of grey matter in Lateral Occipital Cortex, superior division (left)";"Volume of grey matter in Left Lateral Occipital Cortex, superior division"
25825;both_sexes;"Volume of grey matter in Lateral Occipital Cortex, superior division (right)";"Volume of grey matter in Right Lateral Occipital Cortex, superior division"
25826;both_sexes;"Volume of grey matter in Lateral Occipital Cortex, inferior division (left)";"Volume of grey matter in Left Lateral Occipital Cortex, inferior division"
25827;both_sexes;"Volume of grey matter in Lateral Occipital Cortex, inferior division (right)";"Volume of grey matter in Right Lateral Occipital Cortex, inferior division"
25828;both_sexes;Volume of grey matter in Intracalcarine Cortex (left);Volume of grey matter in Left Intracalcarine Cortex
25829;both_sexes;Volume of grey matter in Intracalcarine Cortex (right);Volume of grey matter in Right Intracalcarine Cortex
25830;both_sexes;Volume of grey matter in Frontal Medial Cortex (left);Volume of grey matter in Left Frontal Medial Cortex
25831;both_sexes;Volume of grey matter in Frontal Medial Cortex (right);Volume of grey matter in Right Frontal Medial Cortex
25832;both_sexes;Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left);Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
25833;both_sexes;Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (right);Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
25834;both_sexes;Volume of grey matter in Subcallosal Cortex (left);Volume of grey matter in Left Subcallosal Cortex
25835;both_sexes;Volume of grey matter in Subcallosal Cortex (right);Volume of grey matter in Right Subcallosal Cortex
25836;both_sexes;Volume of grey matter in Paracingulate Gyrus (left);Volume of grey matter in Left Paracingulate Gyrus
25837;both_sexes;Volume of grey matter in Paracingulate Gyrus (right);Volume of grey matter in Right Paracingulate Gyrus
25838;both_sexes;"Volume of grey matter in Cingulate Gyrus, anterior division (left)";"Volume of grey matter in Left Cingulate Gyrus, anterior division"
25839;both_sexes;"Volume of grey matter in Cingulate Gyrus, anterior division (right)";"Volume of grey matter in Right Cingulate Gyrus, anterior division"
25840;both_sexes;"Volume of grey matter in Cingulate Gyrus, posterior division (left)";"Volume of grey matter in Left Cingulate Gyrus, posterior division"
25841;both_sexes;"Volume of grey matter in Cingulate Gyrus, posterior division (right)";"Volume of grey matter in Right Cingulate Gyrus, posterior division"
25842;both_sexes;Volume of grey matter in Precuneous Cortex (left);Volume of grey matter in Left Precuneous Cortex
25843;both_sexes;Volume of grey matter in Precuneous Cortex (right);Volume of grey matter in Right Precuneous Cortex
25844;both_sexes;Volume of grey matter in Cuneal Cortex (left);Volume of grey matter in Left Cuneal Cortex
25845;both_sexes;Volume of grey matter in Cuneal Cortex (right);Volume of grey matter in Right Cuneal Cortex
25846;both_sexes;Volume of grey matter in Frontal Orbital Cortex (left);Volume of grey matter in Left Frontal Orbital Cortex
25847;both_sexes;Volume of grey matter in Frontal Orbital Cortex (right);Volume of grey matter in Right Frontal Orbital Cortex
25848;both_sexes;"Volume of grey matter in Parahippocampal Gyrus, anterior division (left)";"Volume of grey matter in Left Parahippocampal Gyrus, anterior division"
25849;both_sexes;"Volume of grey matter in Parahippocampal Gyrus, anterior division (right)";"Volume of grey matter in Right Parahippocampal Gyrus, anterior division"
25850;both_sexes;"Volume of grey matter in Parahippocampal Gyrus, posterior division (left)";"Volume of grey matter in Left Parahippocampal Gyrus, posterior division"
25851;both_sexes;"Volume of grey matter in Parahippocampal Gyrus, posterior division (right)";"Volume of grey matter in Right Parahippocampal Gyrus, posterior division"
25852;both_sexes;Volume of grey matter in Lingual Gyrus (left);Volume of grey matter in Left Lingual Gyrus
25853;both_sexes;Volume of grey matter in Lingual Gyrus (right);Volume of grey matter in Right Lingual Gyrus
25854;both_sexes;"Volume of grey matter in Temporal Fusiform Cortex, anterior division (left)";"Volume of grey matter in Left Temporal Fusiform Cortex, anterior division"
25855;both_sexes;"Volume of grey matter in Temporal Fusiform Cortex, anterior division (right)";"Volume of grey matter in Right Temporal Fusiform Cortex, anterior division"
25856;both_sexes;"Volume of grey matter in Temporal Fusiform Cortex, posterior division (left)";"Volume of grey matter in Left Temporal Fusiform Cortex, posterior division"
25857;both_sexes;"Volume of grey matter in Temporal Fusiform Cortex, posterior division (right)";"Volume of grey matter in Right Temporal Fusiform Cortex, posterior division"
25858;both_sexes;Volume of grey matter in Temporal Occipital Fusiform Cortex (left);Volume of grey matter in Left Temporal Occipital Fusiform Cortex
25859;both_sexes;Volume of grey matter in Temporal Occipital Fusiform Cortex (right);Volume of grey matter in Right Temporal Occipital Fusiform Cortex
25860;both_sexes;Volume of grey matter in Occipital Fusiform Gyrus (left);Volume of grey matter in Left Occipital Fusiform Gyrus
25861;both_sexes;Volume of grey matter in Occipital Fusiform Gyrus (right);Volume of grey matter in Right Occipital Fusiform Gyrus
25862;both_sexes;Volume of grey matter in Frontal Operculum Cortex (left);Volume of grey matter in Left Frontal Operculum Cortex
25863;both_sexes;Volume of grey matter in Frontal Operculum Cortex (right);Volume of grey matter in Right Frontal Operculum Cortex
25864;both_sexes;Volume of grey matter in Central Opercular Cortex (left);Volume of grey matter in Left Central Opercular Cortex
25865;both_sexes;Volume of grey matter in Central Opercular Cortex (right);Volume of grey matter in Right Central Opercular Cortex
25866;both_sexes;Volume of grey matter in Parietal Operculum Cortex (left);Volume of grey matter in Left Parietal Operculum Cortex
25867;both_sexes;Volume of grey matter in Parietal Operculum Cortex (right);Volume of grey matter in Right Parietal Operculum Cortex
25868;both_sexes;Volume of grey matter in Planum Polare (left);Volume of grey matter in Left Planum Polare
25869;both_sexes;Volume of grey matter in Planum Polare (right);Volume of grey matter in Right Planum Polare
25870;both_sexes;Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (left);Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2)
25871;both_sexes;Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (right);Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2)
25872;both_sexes;Volume of grey matter in Planum Temporale (left);Volume of grey matter in Left Planum Temporale
25873;both_sexes;Volume of grey matter in Planum Temporale (right);Volume of grey matter in Right Planum Temporale
25874;both_sexes;Volume of grey matter in Supracalcarine Cortex (left);Volume of grey matter in Left Supracalcarine Cortex
25875;both_sexes;Volume of grey matter in Supracalcarine Cortex (right);Volume of grey matter in Right Supracalcarine Cortex
25876;both_sexes;Volume of grey matter in Occipital Pole (left);Volume of grey matter in Left Occipital Pole
25877;both_sexes;Volume of grey matter in Occipital Pole (right);Volume of grey matter in Right Occipital Pole
25878;both_sexes;Volume of grey matter in Thalamus (left);Volume of grey matter in Left Thalamus
25879;both_sexes;Volume of grey matter in Thalamus (right);Volume of grey matter in Right Thalamus
25880;both_sexes;Volume of grey matter in Caudate (left);Volume of grey matter in Left Caudate
25881;both_sexes;Volume of grey matter in Caudate (right);Volume of grey matter in Right Caudate
25882;both_sexes;Volume of grey matter in Putamen (left);Volume of grey matter in Left Putamen
